applicant_id,age,gender,region,exam_score,ad_clicks,site_visits,time_on_site,ad_source,enrolled
1,22,M,Siberia,55.702210574642166,2,6,63.92545709082273,Yandex,0
2,35,M,North-West,74.47980699760916,2,4,5.1213031218506755,Yandex,0
3,30,M,Siberia,64.47829895196587,4,3,6.893469283750619,VK,0
4,26,M,Far-East,60.74619259670925,7,6,44.7573130392896,Yandex,0
5,23,F,North-West,85.1449261661045,1,4,6.923840854817436,VK,0
6,22,F,North-West,79.75318688611345,5,6,14.520736280029212,Google,0
7,34,F,North-West,48.38808829475343,1,7,7.052425309401119,Yandex,0
8,26,F,South,70.70452703667243,3,5,25.034769874518815,VK,0
9,26,M,Siberia,93.40178484236777,3,4,71.21552560909437,Google,1
10,19,F,Siberia,85.53326877964899,1,4,2.4686202502868175,Google,0
11,23,M,North-West,51.35945491045668,0,4,32.29903681084391,Yandex,0
12,18,F,South,88.93969602555897,2,9,16.91047526415119,Social,0
13,17,M,North-West,78.95055795834921,1,6,15.614327526715151,Google,0
14,27,M,Siberia,49.27141297627627,3,1,19.349136975665274,Yandex,0
15,21,M,Far-East,68.11512170726371,1,5,34.49470078786854,Google,0
16,17,M,South,72.16493207143252,6,5,24.617086139231702,Google,0
17,16,M,South,48.846023806145915,2,6,14.013275644005624,Yandex,0
18,27,F,North-West,75.5914120110782,3,4,0.5878213462956501,VK,0
19,27,M,Far-East,100.0,3,4,10.276155713004869,VK,0
20,32,F,Siberia,85.4783910152025,0,4,45.759156897623114,Google,0
21,25,F,Central,67.42982515484314,3,6,17.22345195085185,VK,0
22,31,M,Siberia,60.77944196709136,3,5,9.644622012686398,VK,0
23,30,F,Siberia,69.92582812329503,2,5,1.3773907732126103,VK,0
24,30,F,Far-East,50.37173309573,3,7,68.97971245611508,Google,0
25,34,F,South,57.836828114974566,1,3,5.258069365986784,Yandex,0
26,27,M,Siberia,35.57343777236876,3,6,21.904139593687187,Google,0
27,35,M,South,71.51839320370097,3,8,17.983330396889635,VK,0
28,18,M,Far-East,59.93748672516626,7,6,3.6388204012660674,VK,0
29,20,M,Far-East,74.2707719425726,0,5,4.704296370020752,Google,0
30,34,F,North-West,66.79654972311123,6,7,56.33247927130909,VK,0
31,22,F,Central,49.83791644232298,4,5,112.93589237207163,Social,0
32,24,F,Far-East,68.00733507525194,4,5,9.142469963725887,Google,0
33,22,F,Far-East,54.297949260661,3,2,13.875861079354927,VK,0
34,33,F,South,89.83149621354679,7,5,14.661419016826258,Yandex,1
35,19,F,Far-East,52.347717555843836,3,6,2.698099052881982,VK,0
36,29,M,Siberia,57.94889420288066,2,6,72.77558674406022,Google,0
37,33,F,North-West,49.796036742339005,6,4,7.296854929314838,Google,0
38,24,F,North-West,48.49663430478712,2,5,11.559612157869354,VK,0
39,17,F,Siberia,65.4509444477487,2,6,42.6425507542432,Social,0
40,35,M,Far-East,46.31764692321576,5,2,24.25720622228319,Social,0
41,30,F,Central,62.18158665067042,2,6,7.015635291451011,Google,0
42,22,F,Far-East,71.45033111225257,1,5,1.3131954188994068,VK,0
43,27,M,North-West,58.645339855804444,5,4,2.908989610560173,Yandex,0
44,23,F,Central,31.956036329634642,0,2,9.908242202098291,VK,0
45,30,M,South,85.00942088433999,3,9,11.731442980250984,VK,0
46,18,M,South,68.99875003142628,1,4,13.088163580287333,Yandex,0
47,29,F,Far-East,69.17861039657234,3,7,1.3638028134763,Yandex,0
48,32,F,Far-East,61.51905967102999,3,14,0.8093083390659175,Yandex,0
49,19,M,Central,77.16339538631756,3,7,19.532545902774523,Social,1
50,33,F,Central,79.06993017636795,2,5,3.5355609893668594,VK,0
51,23,F,Far-East,80.56956343556554,5,6,21.33172401051906,Social,0
52,19,M,North-West,69.03084498174391,6,6,3.2558966716663233,VK,0
53,17,M,South,44.36037222026304,5,2,15.9284385184205,Yandex,0
54,21,F,Central,71.07758816896093,2,2,6.4079292239407915,Social,0
55,25,M,North-West,69.01149552425622,2,9,4.499093885028295,VK,0
56,19,F,Far-East,56.7702565678925,7,7,4.991513130490238,VK,0
57,33,F,Siberia,52.97215858184823,3,3,11.161549169767609,VK,0
58,27,F,Central,73.14557541122316,4,7,15.547745391488213,VK,0
59,17,F,Siberia,63.862449196321705,2,4,34.841039525140836,VK,0
60,25,M,North-West,59.1481896586791,2,3,25.978302805449765,Yandex,0
61,19,F,South,90.08609048180237,2,3,4.76225845659622,Yandex,0
62,29,M,North-West,75.07312900177232,7,2,11.409282486069298,Google,0
63,31,F,South,71.51804509285225,0,3,0.6451329904280921,VK,0
64,30,F,North-West,83.27648422065346,8,0,16.88391584149398,VK,0
65,23,M,Central,69.95568226642524,5,10,24.343212550441145,Social,1
66,29,F,Central,54.438413807566945,4,7,27.131572502657555,Yandex,0
67,23,M,Siberia,59.15608444199529,6,4,2.6526345551049486,Google,0
68,31,M,North-West,75.97914070186296,2,8,13.86291245695199,Social,0
69,28,F,North-West,74.3725820324306,5,4,42.87220855911778,Social,0
70,33,F,Siberia,71.69470147214716,3,6,4.099670189203992,VK,0
71,30,F,Far-East,47.93446997105765,2,5,1.501721171246508,VK,0
72,28,F,North-West,77.20033928322432,6,3,6.013532093033007,Social,1
73,24,M,North-West,64.02479265832916,5,4,2.1986089487364957,Social,0
74,30,F,North-West,73.99912413411275,5,3,1.213672989379398,Yandex,0
75,28,F,Far-East,52.54753816572007,3,3,5.089751159795578,Yandex,0
76,16,F,Central,94.4905142369691,3,2,9.171043240000762,VK,0
77,22,F,Siberia,68.7124385587704,3,2,27.225512994958933,Yandex,0
78,24,F,Far-East,58.736790391010224,4,7,1.5363648920207182,Google,0
79,16,M,South,74.69279018204791,3,3,73.28743032152546,Yandex,0
80,27,F,South,77.87087338318946,2,6,0.23856367170801246,Yandex,0
81,23,M,Far-East,74.51114991558852,2,5,32.86364642976889,VK,0
82,26,F,Far-East,50.07793637897119,1,3,0.10160762377183125,Google,0
83,34,F,Central,82.14001248233811,1,6,5.801539895343852,VK,0
84,32,F,South,59.82709620360827,3,5,54.03117810168652,VK,0
85,23,M,Siberia,64.75858344265907,5,5,11.381455498083305,Yandex,0
86,18,F,North-West,31.868699157386573,2,7,8.349051052172173,Google,0
87,18,M,North-West,58.03924060605019,3,5,21.394635477920577,Google,0
88,16,M,Central,57.944784381357024,5,6,29.15613072017514,Google,0
89,20,F,Central,71.75911753123579,2,9,50.11608432004102,Google,0
90,25,M,South,57.125055097276324,2,7,48.58513566156074,Yandex,0
91,22,F,Siberia,40.67597865643265,3,6,23.975982078449917,VK,0
92,24,F,Siberia,68.6576550874026,3,4,0.9258756460473881,Yandex,0
93,22,M,Far-East,61.24356001684518,1,6,7.414301928588413,VK,0
94,24,F,Central,54.071747235037066,5,2,7.187997251280054,Social,0
95,23,F,North-West,66.31289524767529,5,6,7.7523960302331885,Yandex,0
96,27,M,North-West,38.30389233255709,1,7,2.2492778960281794,Yandex,0
97,17,M,South,74.30689703693504,4,10,0.8377033646264143,Yandex,0
98,16,M,North-West,62.25796172401005,5,5,5.2781328012050235,VK,0
99,31,M,Siberia,60.990483884149334,3,4,17.522467137475942,Google,0
100,20,M,Siberia,79.29200161408096,1,7,0.060568399574535955,Social,0
101,18,M,Central,56.96269016421137,5,4,43.71554249712918,Yandex,0
102,27,F,South,68.87984044974728,5,5,50.83281907050701,VK,0
103,23,M,North-West,63.057246154054994,4,3,19.032235712788502,VK,0
104,18,M,Central,100.0,3,4,1.0546462547712656,Google,0
105,16,F,Far-East,72.32599343543669,3,3,77.90882923146545,Yandex,0
106,18,F,Far-East,47.878148011885415,3,1,19.295960485355874,Yandex,0
107,20,M,North-West,91.28316735808413,2,9,15.12496440325359,VK,0
108,30,M,North-West,80.64490436988564,2,9,12.96275224048647,VK,0
109,29,F,North-West,65.67442642637528,4,7,2.8129644410361925,Google,0
110,18,M,Siberia,58.44008472729119,1,6,31.948516072264738,Yandex,0
111,16,M,North-West,45.10435030735596,2,5,13.687109505977386,Yandex,0
112,20,F,Far-East,71.45806839797196,3,4,0.40255664155499865,VK,0
113,29,M,North-West,54.872654371248416,0,3,3.3118832634058264,VK,0
114,22,F,South,51.80047463590237,2,4,6.745688202607038,Google,0
115,24,M,Far-East,76.6311430160596,2,4,49.18012318753316,Social,0
116,30,F,South,88.17357048063717,2,5,12.307831151439759,Yandex,0
117,30,F,Far-East,57.85590465848933,4,6,56.4974419989087,VK,0
118,25,F,Central,77.08840190498188,3,2,6.427599981941446,Social,0
119,28,M,Far-East,68.18328692564039,1,8,82.90500891511888,Yandex,0
120,34,F,Far-East,70.38242798967906,5,6,62.103398790178936,VK,1
121,22,M,South,52.72068369253725,4,9,24.88178219402019,VK,0
122,32,F,South,61.81476628948479,5,3,28.268958496428684,Social,0
123,35,F,Far-East,48.55043737041771,3,7,0.49142365693559276,VK,0
124,19,F,Far-East,46.66103978017113,3,6,5.226155097633665,Google,0
125,20,M,Siberia,72.77412842054531,2,4,4.336258829126505,Google,0
126,22,M,Central,57.1356663345307,2,2,64.08351252724755,Google,0
127,28,F,Central,51.27375510721474,3,6,10.510539660566545,Google,0
128,30,M,North-West,46.85736738774878,1,3,18.410322224202883,Yandex,0
129,26,M,Far-East,42.29393626737597,2,4,6.2865837058849925,VK,0
130,19,M,Far-East,35.65388823231146,7,5,5.876519332886565,VK,0
131,28,F,Far-East,66.66417197368003,2,4,10.859243707606172,Google,0
132,22,M,Far-East,30.0,3,6,7.645385599714938,Social,0
133,34,F,Central,72.06978755724376,3,10,27.843777363316704,VK,0
134,17,F,South,71.96411970237448,4,3,19.468223974190213,Social,0
135,25,F,Siberia,63.513128129182164,3,5,23.669272883385233,Google,0
136,28,M,South,66.11201060077485,3,2,15.523170482364941,VK,0
137,21,F,South,60.719597813328285,5,7,46.62379999979522,Social,0
138,27,M,Central,68.377884912364,1,8,1.3346059965477282,Social,0
139,27,M,Siberia,68.20350399938764,2,4,27.70838609593428,Google,0
140,35,F,Far-East,84.52267045219834,2,4,5.489665580001453,Yandex,0
141,26,F,Central,87.99243646493808,4,6,19.517501045316802,Yandex,0
142,22,F,Central,87.5329132572229,1,5,52.00094401295306,Yandex,0
143,16,M,Siberia,53.03399189300117,2,5,7.444481039897404,Google,0
144,16,M,North-West,76.36587764608332,1,7,66.46024152860572,VK,0
145,35,F,Central,72.59096206839575,3,8,3.8777057667515757,VK,0
146,28,F,South,55.26567821544527,2,4,62.128196310234,Google,0
147,24,M,South,51.70469784033893,1,8,0.8489277333514317,Social,0
148,18,M,Far-East,59.349492704416555,4,4,7.964802720924734,Google,0
149,22,F,Central,49.08674867656572,4,4,23.977059347133725,VK,0
150,21,M,Far-East,44.16078097065095,1,2,37.20230608423074,Yandex,0
151,23,M,Central,72.4607313003803,0,7,3.657362165952355,Google,0
152,24,M,Siberia,65.49098716485548,1,4,54.45382041792623,Yandex,0
153,20,M,Central,65.41379527435329,2,4,3.4066294131306236,Google,0
154,16,M,North-West,78.90045101575494,2,3,40.56234654847566,Google,0
155,34,M,South,62.06188420245253,3,4,43.21695556958515,Yandex,0
156,25,F,Siberia,77.45550432564235,3,1,26.772879285202524,VK,0
157,27,M,South,53.91534973109341,4,6,44.31533962238046,VK,0
158,30,F,Far-East,53.82174074408593,3,6,1.7366127239014273,Social,0
159,24,F,Siberia,65.2098217383157,2,4,51.95304546419141,Social,0
160,35,M,North-West,96.81973894601447,2,4,12.461501269386892,Social,0
161,32,F,South,84.28103510239443,3,6,7.003961218979821,Yandex,1
162,32,F,Central,81.47035323890255,3,6,0.1227106629428571,Google,0
163,35,F,Central,44.42087974177166,7,6,16.899018365250498,Google,0
164,27,M,Central,67.17655690825444,2,7,1.2889340720852063,Yandex,0
165,22,F,Siberia,77.31660130945085,2,4,0.247020343883122,Yandex,0
166,17,M,North-West,96.27991701076344,4,3,10.809851128125402,VK,0
167,18,F,North-West,39.744084600329984,2,3,1.254545540768354,VK,0
168,32,F,North-West,75.96439049470315,5,6,37.48112064631948,Google,0
169,20,F,South,80.96560372845525,3,2,0.938838497127217,Social,0
170,32,F,Siberia,71.77613323638609,4,4,16.522149361107065,VK,0
171,32,M,Central,44.745232852527096,2,4,15.027816648232765,Yandex,0
172,32,F,South,68.79887933400941,4,6,16.493473855803828,VK,0
173,17,F,North-West,71.43233831940005,2,4,2.835376647894656,Social,0
174,17,M,Central,67.66676834606751,3,4,42.76222413653159,Yandex,0
175,20,M,Siberia,54.7255029522148,3,8,21.131998397194344,VK,0
176,16,M,Far-East,52.867322737086184,3,3,30.513329233174836,Google,0
177,16,F,North-West,71.84249190520329,7,10,37.63125723082554,VK,0
178,34,M,North-West,54.854513665460914,2,7,45.00379827773901,VK,0
179,17,M,North-West,55.196742955912796,6,5,25.64776075893895,Yandex,0
180,27,M,North-West,62.90534538137628,0,6,25.923560158498443,Yandex,0
181,21,M,Central,67.3965520416782,3,5,3.2341035387824046,Social,0
182,19,M,Siberia,80.58102116216855,4,4,3.7121797852318146,Yandex,0
183,26,M,South,47.059124487860416,2,5,28.005413971192837,Social,0
184,32,F,Central,45.57701522560704,2,5,4.965392313500743,Google,0
185,21,M,Siberia,59.268581092481334,3,7,16.099351434328955,Google,0
186,20,F,South,37.99724219443932,4,7,6.33638487286813,VK,0
187,35,M,North-West,73.79838970093772,4,5,5.898944757160277,Yandex,0
188,17,M,Siberia,35.09632426356315,0,5,11.986650656196964,VK,0
189,21,M,North-West,75.61060275672116,0,8,3.611501472779264,Yandex,0
190,26,F,Siberia,81.6351115483221,4,8,37.416361197895405,VK,0
191,31,M,Far-East,68.8956226339968,5,3,3.2032364674931446,Google,0
192,31,M,North-West,37.14021574220343,4,6,30.14864511501825,Yandex,0
193,16,M,North-West,66.5918661081977,4,5,12.660325165372319,Google,0
194,24,M,North-West,53.04889665037821,6,9,4.628089657133338,Google,0
195,21,F,Central,46.96994991191462,2,2,8.386094166745954,Social,0
196,31,F,South,73.69149639448345,3,7,11.120271916577721,Google,0
197,18,F,North-West,76.5029130109508,2,3,6.53334036257775,Social,0
198,35,F,North-West,84.28538669718684,1,6,33.188265936923756,Social,0
199,19,F,Central,60.728143185758505,7,4,8.717525322740697,Social,0
200,34,M,Central,67.57912104761004,3,6,13.493565026260123,Social,0
201,18,M,Far-East,89.98038218645776,2,4,0.5825721113507106,VK,0
202,34,M,Siberia,96.4293276667777,5,5,5.1035110130933194,Social,0
203,35,F,North-West,81.20556024767248,4,3,1.7018057438127427,Social,0
204,22,M,Siberia,59.7506258264597,5,3,47.851648359840354,VK,0
205,35,F,Central,65.10882760454001,2,6,39.509056136379805,Social,0
206,24,M,Central,62.327068674339515,3,6,6.592094866805434,Social,0
207,16,F,Far-East,75.58446850707695,0,5,13.382651148359754,VK,0
208,23,M,South,52.7051485754979,7,6,7.852386343848305,Social,0
209,22,M,Central,69.8199977197115,7,9,29.987252369155335,Google,1
210,33,M,North-West,69.89567483929319,2,5,5.283956382325517,VK,0
211,23,M,Far-East,70.75625788397288,2,4,33.43897108395103,Social,0
212,16,F,South,49.66407063693522,3,3,3.9664372006754176,Google,0
213,26,M,Far-East,68.70805099439949,4,9,6.893899272499766,VK,0
214,33,M,Central,91.53946619394762,2,1,43.892581871658564,Google,0
215,25,M,South,58.14571164284649,5,8,6.735506929166456,Social,0
216,18,F,Siberia,68.89606619986193,1,3,48.342662436066384,Social,0
217,22,M,South,37.36949381321593,0,4,2.9097596238021444,Social,0
218,31,M,North-West,68.79341625263301,4,5,19.97941930955038,Google,0
219,31,M,Siberia,68.24853959256329,1,9,6.531894787474282,Yandex,0
220,35,M,Siberia,66.74711115937984,1,2,7.736626021527535,Yandex,0
221,32,M,North-West,75.95546793878218,2,7,35.8630848139318,Google,0
222,17,F,Siberia,60.81444898914164,1,5,17.01028373673571,Google,0
223,16,F,Central,82.6460230462053,1,6,4.933465891944523,Social,0
224,31,F,South,51.753034201118226,1,2,58.17437422715953,Yandex,0
225,27,M,South,86.64925298672927,3,5,10.38058483321416,VK,1
226,20,F,North-West,68.18982622579834,4,6,42.310884480849005,VK,0
227,20,M,Central,63.92539380663615,3,7,48.582167093014675,Yandex,0
228,24,M,Siberia,43.52299090940654,2,6,10.837868397830858,VK,0
229,24,M,South,48.3545154447945,3,5,10.675307565358878,Social,0
230,18,M,South,70.26259211636962,2,3,16.094745773237744,Google,0
231,34,F,South,54.24787852887183,3,4,20.261680461209263,Yandex,0
232,31,F,South,79.92579119985568,2,3,1.1211756635104855,Social,0
233,31,F,Far-East,69.31153627544126,4,7,1.401451243533711,Google,0
234,18,M,North-West,43.624784966541746,2,4,5.767977450414991,Google,0
235,35,F,Siberia,76.41629908413097,4,10,11.309588604031408,Yandex,0
236,16,F,Siberia,62.56383370972659,1,4,21.276088334895057,Social,0
237,35,M,North-West,64.31360046257143,2,10,4.368833175415508,Social,0
238,26,F,Central,80.66878406812198,4,4,7.284030897524972,Social,0
239,32,M,North-West,44.08550340497446,4,5,10.472924743396664,Google,0
240,23,F,South,48.13048340558589,2,4,6.555897512846197,Yandex,0
241,19,F,South,69.88369296312138,7,5,9.73160321741931,Yandex,0
242,21,F,North-West,39.51846040312532,2,7,2.7297717458537947,Google,0
243,23,M,North-West,55.89278485059032,1,6,0.30637886736003983,Yandex,0
244,35,F,Siberia,79.67689699977402,0,4,4.392138254463935,Yandex,0
245,18,F,Siberia,63.36906329796657,3,5,6.362716407522172,Social,0
246,31,F,Far-East,44.38354839729557,2,4,31.199519525539966,Yandex,0
247,18,F,Far-East,67.8364644582076,2,4,27.85618479163087,Yandex,0
248,33,M,South,58.92674584911063,4,6,25.914512540129763,Social,0
249,29,M,Far-East,54.465636424433505,1,6,64.58802479335502,Social,0
250,33,F,Far-East,100.0,2,2,10.532680531238494,VK,0
251,17,F,Central,73.6224182657201,2,2,2.2056876644112093,Social,0
252,18,F,North-West,60.7480693201125,3,4,34.13088306584115,Google,0
